seal,ref,d_date,lat,lon,v_mask
B21,hg32-24-11,2011-11-30T02:34:28Z,48.317798614502,-4.87884998321533,0
B21,hg32-24-11,2011-11-30T02:49:16Z,48.3179397583008,-4.87882995605469,0
B21,hg32-24-11,2011-11-30T02:59:28Z,48.317798614502,-4.87728023529053,0
B21,hg32-24-11,2011-11-30T03:10:48Z,48.3178100585938,-4.87823009490967,0
B21,hg32-24-11,2011-11-30T03:32:32Z,48.3178901672363,-4.87887001037598,0
B21,hg32-24-11,2011-11-30T03:44:12Z,48.3184394836426,-4.87740993499756,0
B21,hg32-24-11,2011-11-30T04:08:36Z,48.3311309814453,-4.87660980224609,0
B21,hg32-24-11,2011-11-30T04:34:04Z,48.343189239502,-4.88067007064819,0
B21,hg32-24-11,2011-11-30T04:58:04Z,48.3608207702637,-4.88177013397217,0
B21,hg32-24-11,2011-11-30T05:21:52Z,48.3718490600586,-4.88206005096436,0
B21,hg32-24-11,2011-11-30T05:32:28Z,48.3709487915039,-4.88031005859375,0
B21,hg32-24-11,2011-11-30T06:19:40Z,48.3709983825684,-4.87966012954712,0
B21,hg32-24-11,2011-11-30T06:56:32Z,48.3706817626953,-4.88071012496948,0
B21,hg32-24-11,2011-11-30T07:28:48Z,48.3708190917969,-4.88021993637085,0
B21,hg32-24-11,2011-11-30T07:48:48Z,48.3711013793945,-4.88059997558594,0
B21,hg32-24-11,2011-11-30T07:58:48Z,48.3711204528809,-4.88080978393555,0
B21,hg32-24-11,2011-11-30T08:08:48Z,48.3711814880371,-4.88054990768433,0
B21,hg32-24-11,2011-11-30T08:18:48Z,48.3708915710449,-4.88058996200562,0
B21,hg32-24-11,2011-11-30T08:40:16Z,48.371208190918,-4.88048982620239,0
B21,hg32-24-11,2011-11-30T09:03:20Z,48.3710403442383,-4.88019990921021,0
B21,hg32-24-11,2011-11-30T09:14:00Z,48.3712692260742,-4.88041019439697,0
B21,hg32-24-11,2011-11-30T09:24:04Z,48.3713302612305,-4.88047981262207,0
B21,hg32-24-11,2011-11-30T09:34:12Z,48.3710098266602,-4.88048982620239,0
B21,hg32-24-11,2011-11-30T09:44:12Z,48.3702507019043,-4.87985992431641,0
B21,hg32-24-11,2011-11-30T09:55:12Z,48.3709182739258,-4.88019990921021,0
B21,hg32-24-11,2011-11-30T10:06:00Z,48.3711090087891,-4.88007020950317,0
B21,hg32-24-11,2011-11-30T10:16:12Z,48.3713912963867,-4.88020992279053,0
B21,hg32-24-11,2011-11-30T10:37:16Z,48.3692092895508,-4.8788800239563,0
B21,hg32-24-11,2011-11-30T11:51:24Z,48.3679618835449,-4.88188982009888,0
B21,hg32-24-11,2011-11-30T12:08:16Z,48.3678894042969,-4.88162994384766,0
B21,hg32-24-11,2011-11-30T12:23:52Z,48.3678588867188,-4.88159990310669,0
B21,hg32-24-11,2011-11-30T13:00:06Z,48.3678703308105,-4.88143014907837,0
B21,hg32-24-11,2011-11-30T13:21:32Z,48.3697814941406,-4.88214015960693,0
B21,hg32-24-11,2011-11-30T13:31:32Z,48.3712615966797,-4.87995004653931,0
B21,hg32-24-11,2011-11-30T13:42:04Z,48.3711395263672,-4.87987995147705,0
B21,hg32-24-11,2011-11-30T13:52:12Z,48.3711700439453,-4.88007020950317,0
B21,hg32-24-11,2011-11-30T14:12:24Z,48.3714408874512,-4.88004016876221,0
B21,hg32-24-11,2011-11-30T14:23:44Z,48.3713111877441,-4.88003015518188,0
B21,hg32-24-11,2011-11-30T14:33:44Z,48.3711395263672,-4.88003015518188,0
B21,hg32-24-11,2011-11-30T14:44:08Z,48.3711090087891,-4.87980985641479,0
B21,hg32-24-11,2011-11-30T14:54:20Z,48.3711204528809,-4.87969017028809,0
B21,hg32-24-11,2011-11-30T15:04:32Z,48.3709182739258,-4.88007020950317,0
B21,hg32-24-11,2011-11-30T15:14:32Z,48.3709182739258,-4.8800802230835,0
B21,hg32-24-11,2011-11-30T15:25:32Z,48.3710403442383,-4.88000011444092,0
B21,hg32-24-11,2011-11-30T15:47:12Z,48.3710708618164,-4.87995004653931,0
B21,hg32-24-11,2011-11-30T16:09:04Z,48.3709907531738,-4.88009023666382,0
B21,hg32-24-11,2011-11-30T16:19:04Z,48.3709487915039,-4.87997007369995,0
B21,hg32-24-11,2011-11-30T16:39:48Z,48.3709411621094,-4.88011980056763,0
B21,hg32-24-11,2011-11-30T16:50:48Z,48.3709716796875,-4.88023996353149,0
B21,hg32-24-11,2011-11-30T17:00:52Z,48.370849609375,-4.8799901008606,0
B21,hg32-24-11,2011-11-30T17:10:52Z,48.370849609375,-4.88058996200562,0
B21,hg32-24-11,2011-11-30T20:30:52Z,48.3708686828613,-4.88050985336304,0
